PG,PG,SG,SG,SF,SF,PF,PF,C
125062-9642,125062-203713,125062-14509,125062-188457,125062-67026,125062-9714,125062-157908,125062-12341,125062-145314
125062-157808,125062-145335,125062-40201,125062-228133,125062-16293,125062-188426,125062-145307,125062-171769,125062-171779
125062-188427,125062-145331,125062-203713,125062-228113,125062-228133,125062-188426,125062-12341,125062-171792,125062-110354
125062-157808,125062-171780,125062-161553,125062-203713,125062-228133,125062-228113,125062-145307,125062-49116,125062-171779
125062-188427,125062-157812,125062-84717,125062-40201,125062-9714,125062-67026,125062-80817,125062-203730,125062-49111
125062-9642,125062-203713,125062-49675,125062-157838,125062-188457,125062-228133,125062-157908,125062-171787,125062-157811
125062-163978,125062-188427,125062-49675,125062-145335,125062-188426,125062-12341,125062-9646,125062-171787,125062-80817
125062-203713,125062-157812,125062-145335,125062-188426,125062-171787,125062-67026,125062-157908,125062-171769,125062-145314
125062-228113,125062-9642,125062-228133,125062-171753,125062-228124,125062-12341,125062-203730,125062-9714,125062-110354
125062-40201,125062-145335,125062-49675,125062-203713,125062-9714,125062-228113,125062-213259,125062-110352,125062-110354
125062-49675,125062-171780,125062-188426,125062-14509,125062-171769,125062-171787,125062-157908,125062-80817,125062-49111
125062-157808,125062-145331,125062-85137,125062-40201,125062-158854,125062-188426,125062-145314,125062-110352,125062-80817
125062-49675,125062-145335,125062-40201,125062-67026,125062-188422,125062-110352,125062-145307,125062-228111,125062-171779
125062-163978,125062-157808,125062-67026,125062-40201,125062-9714,125062-85137,125062-171792,125062-171769,125062-203730
125062-157808,125062-49675,125062-67026,125062-14509,125062-171769,125062-9714,125062-228111,125062-145307,125062-228166
125062-9642,125062-188427,125062-188457,125062-228133,125062-171787,125062-16293,125062-15755,125062-9714,125062-110354
125062-157808,125062-188427,125062-188426,125062-228133,125062-171769,125062-228124,125062-12341,125062-15755,125062-110354
125062-188427,125062-49675,125062-67026,125062-188426,125062-9714,125062-16293,125062-228111,125062-145307,125062-49111
125062-163978,125062-157808,125062-49675,125062-145335,125062-85137,125062-188426,125062-9714,125062-171792,125062-171779
125062-9642,125062-157808,125062-40201,125062-228133,125062-188426,125062-228111,125062-188431,125062-145819,125062-49111
125062-163978,125062-157808,125062-161553,125062-16293,125062-171769,125062-12341,125062-9714,125062-188422,125062-203730
125062-84717,125062-49675,125062-188457,125062-14509,125062-67026,125062-12341,125062-9714,125062-203730,125062-49111
125062-157808,125062-40201,125062-171753,125062-157843,125062-12341,125062-228113,125062-145307,125062-9646,125062-228166
125062-188427,125062-157808,125062-84717,125062-49675,125062-188457,125062-157826,125062-9714,125062-15755,125062-228166
125062-84717,125062-163978,125062-228133,125062-16293,125062-9646,125062-171767,125062-228111,125062-110352,125062-49111
125062-145335,125062-157808,125062-16293,125062-67026,125062-158854,125062-14509,125062-188431,125062-9714,125062-145307
125062-188427,125062-157812,125062-203713,125062-157826,125062-110352,125062-9714,125062-15755,125062-171767,125062-171779
125062-157808,125062-163978,125062-157826,125062-188457,125062-228133,125062-12341,125062-203730,125062-145307,125062-49111
125062-188427,125062-157812,125062-16293,125062-228113,125062-67026,125062-188426,125062-171787,125062-171769,125062-80817
125062-203713,125062-188427,125062-14509,125062-40201,125062-9714,125062-145819,125062-9646,125062-15755,125062-49111
125062-157808,125062-9642,125062-203713,125062-145335,125062-188426,125062-145819,125062-145307,125062-49116,125062-228166
125062-188427,125062-49675,125062-40201,125062-16293,125062-67026,125062-171787,125062-49116,125062-80817,125062-157811
125062-84717,125062-145335,125062-16293,125062-49675,125062-12341,125062-49116,125062-9714,125062-203730,125062-157811
125062-145331,125062-9642,125062-157826,125062-85137,125062-171769,125062-16293,125062-49116,125062-145314,125062-49111
125062-157808,125062-80816,125062-188426,125062-228133,125062-188422,125062-188457,125062-203730,125062-9714,125062-171779
125062-157808,125062-188427,125062-188457,125062-171753,125062-9714,125062-67026,125062-80817,125062-203730,125062-228166
125062-163978,125062-49675,125062-85137,125062-228133,125062-145819,125062-67026,125062-80817,125062-203730,125062-145307
125062-157808,125062-40201,125062-85137,125062-14509,125062-228133,125062-188426,125062-15755,125062-110352,125062-157811
125062-145331,125062-9642,125062-85137,125062-145335,125062-9714,125062-228111,125062-80817,125062-49116,125062-145307
125062-188427,125062-203713,125062-145335,125062-49675,125062-171769,125062-228133,125062-9714,125062-80817,125062-49111
125062-9642,125062-157812,125062-203713,125062-67026,125062-188426,125062-188422,125062-145307,125062-80817,125062-110354
125062-9642,125062-203713,125062-145335,125062-188426,125062-171753,125062-16293,125062-188431,125062-110352,125062-49111
125062-188405,125062-157808,125062-16293,125062-188457,125062-157826,125062-9714,125062-145314,125062-171787,125062-228166
125062-157808,125062-163978,125062-161553,125062-228107,125062-188426,125062-228133,125062-80817,125062-9714,125062-49111
125062-203713,125062-157808,125062-16293,125062-49675,125062-171769,125062-85137,125062-203730,125062-9714,125062-145314
125062-188405,125062-188427,125062-84717,125062-49675,125062-49116,125062-85137,125062-157908,125062-12341,125062-203730
125062-40201,125062-157812,125062-161553,125062-145335,125062-67026,125062-228133,125062-12341,125062-203730,125062-171779
125062-145331,125062-145335,125062-157838,125062-14509,125062-67026,125062-158854,125062-12341,125062-228111,125062-49111
125062-9642,125062-163978,125062-203713,125062-188426,125062-228133,125062-171769,125062-203730,125062-80817,125062-49111
125062-9642,125062-145331,125062-145335,125062-188426,125062-171769,125062-9714,125062-203730,125062-145307,125062-157811
125062-49675,125062-163978,125062-188405,125062-188457,125062-67026,125062-228111,125062-203730,125062-188431,125062-171779
125062-145335,125062-49675,125062-67026,125062-188457,125062-110352,125062-228107,125062-9714,125062-171792,125062-49111
125062-188427,125062-157808,125062-67026,125062-188457,125062-171787,125062-12341,125062-203730,125062-171769,125062-110354
125062-157808,125062-163978,125062-145335,125062-171753,125062-188457,125062-171769,125062-171767,125062-15755,125062-171779
125062-188427,125062-157808,125062-203713,125062-228133,125062-171787,125062-16293,125062-188422,125062-145819,125062-171779
125062-203713,125062-228113,125062-188426,125062-145335,125062-171769,125062-49116,125062-15755,125062-188431,125062-145307
125062-157808,125062-84717,125062-16293,125062-40201,125062-188457,125062-228107,125062-157908,125062-9714,125062-203730
125062-157808,125062-203713,125062-85137,125062-84717,125062-188426,125062-67026,125062-9646,125062-188431,125062-145307
125062-157812,125062-145331,125062-161553,125062-145335,125062-16293,125062-188426,125062-171787,125062-9714,125062-228166
125062-163978,125062-145331,125062-16293,125062-188426,125062-9714,125062-171753,125062-145307,125062-203730,125062-49111
125062-145331,125062-157812,125062-145335,125062-228133,125062-9714,125062-16293,125062-213259,125062-203730,125062-157811
125062-145335,125062-188427,125062-16293,125062-188426,125062-145819,125062-171769,125062-157908,125062-145307,125062-15755
125062-145331,125062-157812,125062-188426,125062-228133,125062-188457,125062-228124,125062-15755,125062-145307,125062-80817
125062-157812,125062-49675,125062-85137,125062-203713,125062-188426,125062-9714,125062-80817,125062-9646,125062-110354
125062-145331,125062-171780,125062-161553,125062-145335,125062-228133,125062-110352,125062-145307,125062-12341,125062-49111
125062-228113,125062-188427,125062-203713,125062-171753,125062-228107,125062-9646,125062-12341,125062-15755,125062-171779
125062-9642,125062-157808,125062-228133,125062-14509,125062-188426,125062-188457,125062-171792,125062-80817,125062-49111
125062-157808,125062-84717,125062-67026,125062-145335,125062-85137,125062-188426,125062-171767,125062-171792,125062-203730
125062-163978,125062-157808,125062-85137,125062-188426,125062-228133,125062-9714,125062-228111,125062-188431,125062-15755
125062-157812,125062-157808,125062-228133,125062-16293,125062-228107,125062-171769,125062-49116,125062-12341,125062-203730
125062-145335,125062-9642,125062-203713,125062-16293,125062-188422,125062-171787,125062-203730,125062-9714,125062-157811
125062-84717,125062-145335,125062-188426,125062-67026,125062-188457,125062-188422,125062-171787,125062-9646,125062-203730
125062-163978,125062-157808,125062-49675,125062-161553,125062-9714,125062-188426,125062-228111,125062-80817,125062-171779
125062-188427,125062-163978,125062-161553,125062-49675,125062-188426,125062-16293,125062-9714,125062-157908,125062-80817
125062-157808,125062-203713,125062-228113,125062-157838,125062-228111,125062-171769,125062-145307,125062-9714,125062-203730
125062-157808,125062-145335,125062-228107,125062-16293,125062-228111,125062-49116,125062-171767,125062-145819,125062-49111
125062-157808,125062-9642,125062-40201,125062-161553,125062-188422,125062-49116,125062-12341,125062-145307,125062-203730
125062-157808,125062-145335,125062-85137,125062-228124,125062-188426,125062-12341,125062-49116,125062-171787,125062-49111
125062-157812,125062-145331,125062-188426,125062-67026,125062-171769,125062-228111,125062-80817,125062-145307,125062-171779
125062-163978,125062-157812,125062-145335,125062-84717,125062-67026,125062-16293,125062-145307,125062-171787,125062-15755
125062-84717,125062-203713,125062-49675,125062-67026,125062-171769,125062-188422,125062-203730,125062-171787,125062-110354
125062-171780,125062-157808,125062-14509,125062-203713,125062-9646,125062-228124,125062-171787,125062-157908,125062-157811
125062-157808,125062-49675,125062-203713,125062-188426,125062-12341,125062-85137,125062-171792,125062-145307,125062-49111
125062-171780,125062-49675,125062-228133,125062-228107,125062-228113,125062-14509,125062-80817,125062-110352,125062-49111
125062-49675,125062-188405,125062-203713,125062-161553,125062-12341,125062-9714,125062-203730,125062-228111,125062-171779
125062-163978,125062-188427,125062-49675,125062-16293,125062-228133,125062-188422,125062-203730,125062-145307,125062-157908
125062-145335,125062-49675,125062-228107,125062-14509,125062-12341,125062-67026,125062-9714,125062-203730,125062-228166
125062-49675,125062-157812,125062-145335,125062-188426,125062-9714,125062-16293,125062-188431,125062-171769,125062-49111
125062-145335,125062-157808,125062-40201,125062-84717,125062-49116,125062-228113,125062-188422,125062-171792,125062-157811
125062-157808,125062-157812,125062-16293,125062-171753,125062-188426,125062-67026,125062-9714,125062-171769,125062-157811
125062-145331,125062-188427,125062-228133,125062-203713,125062-171769,125062-157826,125062-49116,125062-157908,125062-145307
125062-157808,125062-188427,125062-67026,125062-228113,125062-145819,125062-228111,125062-80817,125062-171792,125062-157811
